pressure_bar,scenario,cop,gross_kJ_per_kg,electrical_kJ_per_kg,w_pump_kJ_per_kg,net_kJ_per_kg,mass_flow_kg_per_s
100,two_phase_conservative,9.0,115.38461538461537,31.15384615384615,12.82051282051282,18.33333333333333,5.454545454545456
100,two_phase_conservative,10.0,115.38461538461537,31.15384615384615,11.538461538461537,19.615384615384613,5.098039215686275
120,single_phase_best,3.0,138.46153846153845,103.84615384615384,46.15384615384615,57.692307692307686,1.7333333333333334
120,single_phase_best,4.0,138.46153846153845,103.84615384615384,34.61538461538461,69.23076923076923,1.4444444444444446
120,single_phase_best,5.0,138.46153846153845,103.84615384615384,27.69230769230769,76.15384615384615,1.3131313131313134
120,single_phase_best,6.0,138.46153846153845,103.84615384615384,23.076923076923077,80.76923076923076,1.2380952380952381
120,single_phase_best,7.0,138.46153846153845,103.84615384615384,19.780219780219777,84.06593406593406,1.189542483660131
120,single_phase_best,8.0,138.46153846153845,103.84615384615384,17.307692307692307,86.53846153846153,1.1555555555555557
120,single_phase_best,9.0,138.46153846153845,103.84615384615384,15.384615384615383,88.46153846153845,1.1304347826086958
120,single_phase_best,10.0,138.46153846153845,103.84615384615384,13.846153846153845,90.0,1.1111111111111112
120,two_phase_optimistic,3.0,138.46153846153845,72.0,46.15384615384615,25.846153846153847,3.8690476190476186
120,two_phase_optimistic,4.0,138.46153846153845,72.0,34.61538461538461,37.38461538461539,2.6748971193415634
120,two_phase_optimistic,5.0,138.46153846153845,72.0,27.69230769230769,44.30769230769231,2.2569444444444446
120,two_phase_optimistic,6.0,138.46153846153845,72.0,23.076923076923077,48.92307692307692,2.0440251572327046
120,two_phase_optimistic,7.0,138.46153846153845,72.0,19.780219780219777,52.21978021978022,1.9149831649831652
120,two_phase_optimistic,8.0,138.46153846153845,72.0,17.307692307692307,54.69230769230769,1.8284106891701828
120,two_phase_optimistic,9.0,138.46153846153845,72.0,15.384615384615383,56.61538461538461,1.7663043478260871
120,two_phase_optimistic,10.0,138.46153846153845,72.0,13.846153846153845,58.15384615384615,1.7195767195767195
120,two_phase_conservative,3.0,138.46153846153845,37.38461538461538,46.15384615384615,-8.769230769230774,inf
120,two_phase_conservative,4.0,138.46153846153845,37.38461538461538,34.61538461538461,2.7692307692307665,36.11111111111115
120,two_phase_conservative,5.0,138.46153846153845,37.38461538461538,27.69230769230769,9.69230769230769,10.31746031746032
120,two_phase_conservative,6.0,138.46153846153845,37.38461538461538,23.076923076923077,14.307692307692303,6.98924731182796
120,two_phase_conservative,7.0,138.46153846153845,37.38461538461538,19.780219780219777,17.604395604395602,5.680399500624221
120,two_phase_conservative,8.0,138.46153846153845,37.38461538461538,17.307692307692307,20.076923076923073,4.980842911877395
120,two_phase_conservative,9.0,138.46153846153845,37.38461538461538,15.384615384615383,21.999999999999996,4.545454545454546
120,two_phase_conservative,10.0,138.46153846153845,37.38461538461538,13.846153846153845,23.538461538461533,4.248366013071896
